COGID	dutch	english	french	german
-1791-4				r eː ts
-225-4				pf r ai ʃ
-2284-4				pf l ɛ Ø
1479-4				ɔ pf ə n ə
847-4				h oː ɡ
659-4				b ɔ d ə m
860-4				m Ø t ə l
213-4				r eː ɡ Ø
1286-4				f eː r
1293-4				eː ʃ ts ə
474-4				d Ø k
467-4				d Ø n
1177-4				t Ø pf
588-4				l aː k
584-4				h eː k
-1153-4				r oː n t.ə
700-4				ts eː l Ø
875-4				d Ø Ø ə n t.ə
1559-4				Ø l ə
1565-4				m eː r
1968-4				h eː Ø f ts
-350-4				pf eː ə r
1478-4				b ɔ t a
