COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1432-7							z̪ ɪ g u
634-7							pʰ r̪ u
1255-7							pʰ r̪ u
488-7							ʊ ɾ g o
1004-7							pʰ u ɾ s̪
506-7							d̪ r̪ u l s̪
1488-7							ʈ ɑ ŋ
1496-7							gʲ ɜ̃ l ɜ
1073-7							z̪ ɛ ɾ s̪
1617-7							z̪ ɛ ɾ s̪
1569-7							pʰ r̪ u
1593-7							g o
1585-7							l dð ɑ
759-7							ȵ i m ɑ
1415-7							d̪ u k s̪
1215-7							h s̪ tɕ u
422-7							s̪ o ŋ
310-7							ʈ ɑ ŋ
189-7							ʈ ɑ ŋ
25-7							k o s̪
9-7							d̪ r̪ u l s̪
57-7							kʰ o ŋ
17-7							k o s̪
