ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGNACY
1196	227_eat	eat	Phon	Phon	sa³¹	sa³¹	s a ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	341	341
1197	227_eat	eat	WrittenBurmese	Written_Burmese	ca:	ca:	ts aː	oldb1235	21.16	94.90	Sino-Tibetan	341	341
1198	227_eat	eat	Zaiwa	Zaiwa	dzɔ⁵³	dzɔ⁵³	d z ɔ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	341	341
513	98_egg	egg	Achang	Achang	ɂuɂ⁵³	ɂuɂ⁵³	ʔ u ʔ ⁵³	acha1249	24.25	97.8333	Sino-Tibetan	149	149
514	98_egg	egg	Bela	Bela	ɣụ²³	ɣụ²³	ɣ ṵ ²³	pela1242	24.45	98.6	Sino-Tibetan	149	149
515	98_egg	egg	Lashi	Lashi	wɨ̣ɂ⁵³	wɨ̣ɂ⁵³	w ɨ̰ ʔ ⁵³	lash1243	24.45	98.6	Sino-Tibetan	149	149
516	98_egg	egg	Maru	Maru	au⁵⁴	au⁵⁴	au ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	149	149
517	98_egg	egg	Phon	Phon	ɂu³¹	ɂu³¹	ʔ u ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	149	149
518	98_egg	egg	WrittenBurmese	Written_Burmese	ɂuˀ	ɂuˀ	ʔ uˀ	oldb1235	21.16	94.90	Sino-Tibetan	149	149
519	98_egg	egg	Zaiwa	Zaiwa	ɂu³	ɂu³	ʔ u ³	zaiw1241	24.45	98.6	Sino-Tibetan	149	149
319	62_eggplant	eggplant	Achang	Achang	kʰə³ lạm⁵	kʰə³ lạm⁵	kʰ ə ³ + l a̰ m ⁵	acha1249	24.25	97.8333	Sino-Tibetan	92 93	92 93
320	62_eggplant	eggplant	Lashi	Lashi	kʰə⁵ læm⁵	kʰə⁵ læm⁵	kʰ ə ⁵ + l æ m ⁵	lash1243	24.45	98.6	Sino-Tibetan	92 93	92 93
321	62_eggplant	eggplant	Maru	Maru	kʰət³ le⁴	kʰət³ le⁴	kʰ ə t ³ + l e ⁴	maru1249	24.45	98.6	Sino-Tibetan	92 93	92 93
322	62_eggplant	eggplant	WrittenBurmese	Written_Burmese	kʰa ram:	kʰa ram:	kʰ a + r a mː/m	oldb1235	21.16	94.90	Sino-Tibetan	92 93	92 93
323	62_eggplant	eggplant	Zaiwa	Zaiwa	kʰət⁵ lam⁵⁴	kʰət⁵ lam⁵⁴	kʰ ə t ⁵ + l a m ⁵⁴	zaiw1241	24.45	98.6	Sino-Tibetan	92 93	92 93
324	62_eggplant	eggplant	Phon	Phon	ɹɛ³¹	ɹɛ³¹	ɹ ɛ ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	93	93
1703	329_eightpeople	eight (people)	Achang	Achang	xjɛ⁵³	xjɛ⁵³	x j ɛ ⁵³	acha1249	24.25	97.8333	Sino-Tibetan	478	478
1704	329_eightpeople	eight (people)	Bela	Bela	ʃɛt⁵²	ʃɛt⁵²	ʃ ɛ t ⁵²	pela1242	24.45	98.6	Sino-Tibetan	478	478
1705	329_eightpeople	eight (people)	Lashi	Lashi	ʃet⁵³	ʃet⁵³	ʃ e t ⁵³	lash1243	24.45	98.6	Sino-Tibetan	478	478
1706	329_eightpeople	eight (people)	Maru	Maru	ʃöɂ⁵	ʃöɂ⁵	ʃ ö/ø ʔ ⁵	maru1249	24.45	98.6	Sino-Tibetan	478	478
1707	329_eightpeople	eight (people)	Phon	Phon	ʃiɂ³¹ jɔŋ⁵⁵	ʃiɂ³¹ jɔŋ⁵⁵	ʃ i ʔ ³¹ + j ɔ ŋ ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	478 479	478 479
1708	329_eightpeople	eight (people)	Zaiwa	Zaiwa	ʃɪ̣t⁵	ʃɪ̣t⁵	ʃ ɪ̰ t ⁵	zaiw1241	24.45	98.6	Sino-Tibetan	478	478
1709	329_eightpeople	eight (people)	WrittenBurmese	Written_Burmese	hrac	hrac	h r a ts	oldb1235	21.16	94.90	Sino-Tibetan	479	479
768	146_elbow	elbow	Achang	Achang	man⁵ tʰuŋ⁵ gue³	man⁵ tʰuŋ⁵ gue³	m a n ⁵ + tʰ u ŋ ⁵ + g u/w e ³	acha1249	24.25	97.8333	Sino-Tibetan	219 220 221	219 220 221
769	146_elbow	elbow	Lashi	Lashi	moi⁴⁵ tʰuŋ⁵³ gue⁵³	moi⁴⁵ tʰuŋ⁵³ gue⁵³	m oi ⁴⁵ + tʰ u ŋ ⁵³ + g u/w e ⁵³	lash1243	24.45	98.6	Sino-Tibetan	219 220 221	219 220 221
770	146_elbow	elbow	Maru	Maru	mạịt⁵ tʰauŋ²	mạịt⁵ tʰauŋ²	m a̰ ḭ t ⁵ + tʰ au ŋ ²	maru1249	24.45	98.6	Sino-Tibetan	219 220	219 220
771	146_elbow	elbow	Zaiwa	Zaiwa	mun³⁴ tʰuŋ⁴	mun³⁴ tʰuŋ⁴	m u n ³⁴ + tʰ u ŋ ⁴	zaiw1241	24.45	98.6	Sino-Tibetan	219 220	219 220
772	146_elbow	elbow	WrittenBurmese	Written_Burmese	tauŋ	tauŋ	t au ŋ	oldb1235	21.16	94.90	Sino-Tibetan	220	220
940	179_eldersibling	elder sibling	Achang	Achang	ɂa³ maŋ³	ɂa³ maŋ³	ʔ a ³ + m a ŋ ³	acha1249	24.25	97.8333	Sino-Tibetan	273 274	273 274
941	179_eldersibling	elder sibling	Bela	Bela	ɂa³	ɂa³	ʔ a ³	pela1242	24.45	98.6	Sino-Tibetan	273	273
942	179_eldersibling	elder sibling	Lashi	Lashi	ɂa⁴ maŋ⁴	ɂa⁴ maŋ⁴	ʔ a ⁴ + m a ŋ ⁴	lash1243	24.45	98.6	Sino-Tibetan	273 274	273 274
943	179_eldersibling	elder sibling	Maru	Maru	jə² ma²	jə² ma²	j ə ² + m a ²	maru1249	24.45	98.6	Sino-Tibetan	273 274	273 274
944	179_eldersibling	elder sibling	WrittenBurmese	Written_Burmese	ɂac maˀ	ɂac maˀ	ʔ a ts + m aˀ	oldb1235	21.16	94.90	Sino-Tibetan	273 274	273 274
945	179_eldersibling	elder sibling	Zaiwa	Zaiwa	ɂa⁴⁵ maŋ⁵³	ɂa⁴⁵ maŋ⁵³	ʔ a ⁴⁵ + m a ŋ ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	273 274	273 274
946	179_eldersibling	elder sibling	Phon	Phon	mo³¹	mo³¹	m o ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	274	274
472	91_elephant	elephant	Achang	Achang	tsʰaŋ³	tsʰaŋ³	tsʰ a ŋ ³	acha1249	24.25	97.8333	Sino-Tibetan	141	141
473	91_elephant	elephant	Lashi	Lashi	tsʰaŋ²	tsʰaŋ²	tsʰ a ŋ ²	lash1243	24.45	98.6	Sino-Tibetan	141	141
474	91_elephant	elephant	Maru	Maru	tsʰa⁵³	tsʰa⁵³	tsʰ a ⁵³	maru1249	24.45	98.6	Sino-Tibetan	141	141
475	91_elephant	elephant	WrittenBurmese	Written_Burmese	cʰaŋ	cʰaŋ	tsʰ a ŋ	oldb1235	21.16	94.90	Sino-Tibetan	141	141
476	92_elephanttusk	elephant tusk	Achang	Achang	dzui³¹	dzui³¹	d z u/w i ³¹	acha1249	24.25	97.8333	Sino-Tibetan	142	142
477	92_elephanttusk	elephant tusk	Bela	Bela	tui³	tui³	t u/w i ³	pela1242	24.45	98.6	Sino-Tibetan	142	142
478	92_elephanttusk	elephant tusk	Lashi	Lashi	dzi⁵² (tusk)/tsɨ̣⁵²(tooth)	dzi⁵²	d z i ⁵²	lash1243	24.45	98.6	Sino-Tibetan	142	142
479	92_elephanttusk	elephant tusk	Maru	Maru	dzӧi³¹	dzӧi³¹	d z ö/œ i ³¹	maru1249	24.45	98.6	Sino-Tibetan	142	142
480	92_elephanttusk	elephant tusk	Phon	Phon	sʰui⁵⁵	sʰui⁵⁵	sʰ u/w i ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	142	142
481	92_elephanttusk	elephant tusk	WrittenBurmese	Written_Burmese	cwai	cwai	tsʷ ai	oldb1235	21.16	94.90	Sino-Tibetan	142	142
482	92_elephanttusk	elephant tusk	Zaiwa	Zaiwa	dzui³¹	dzui³¹	d z u/w i ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	142	142
1444	277_enter	enter	Achang	Achang	waŋ³¹	waŋ³¹	w a ŋ ³¹	acha1249	24.25	97.8333	Sino-Tibetan	410	410
1445	277_enter	enter	Lashi	Lashi	waŋ³¹	waŋ³¹	w a ŋ ³¹	lash1243	24.45	98.6	Sino-Tibetan	410	410
1446	277_enter	enter	Maru	Maru	wa³²	wa³²	w a ³²	maru1249	24.45	98.6	Sino-Tibetan	410	410
1447	277_enter	enter	Phon	Phon	vɹo⁵⁵	vɹo⁵⁵	v ɹ o ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	410	410
1448	277_enter	enter	WrittenBurmese	Written_Burmese	waŋ	waŋ	w a ŋ	oldb1235	21.16	94.90	Sino-Tibetan	410	410
1644	319_exchange	exchange	Achang	Achang	tʰaiɂ³¹	tʰaiɂ³¹	tʰ ai ʔ ³¹	acha1249	24.25	97.8333	Sino-Tibetan	465	465
1645	319_exchange	exchange	Lashi	Lashi	tʰe⁵³	tʰe⁵³	tʰ e ⁵³	lash1243	24.45	98.6	Sino-Tibetan	465	465
1646	319_exchange	exchange	Maru	Maru	tʰa⁴³	tʰa⁴³	tʰ a ⁴³	maru1249	24.45	98.6	Sino-Tibetan	465	465
1647	319_exchange	exchange	WrittenBurmese	Written_Burmese	pʰai hlai	pʰai hlai	pʰ ai + h l ai	oldb1235	21.16	94.90	Sino-Tibetan	465 466	465 466
1648	319_exchange	exchange	Zaiwa	Zaiwa	tʰai⁵⁴ lum⁵³	tʰai⁵⁴ lum⁵³	tʰ ai ⁵⁴ + l u m ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	465 466	465 466
866	167_excrement	excrement	Achang	Achang	kʰjei⁵	kʰjei⁵	kʰ j ei ⁵	acha1249	24.25	97.8333	Sino-Tibetan	248	248
867	167_excrement	excrement	Lashi	Lashi	kʰei⁵	kʰei⁵	kʰ ei ⁵	lash1243	24.45	98.6	Sino-Tibetan	248	248
868	167_excrement	excrement	Maru	Maru	kʰiɂ⁵⁴	kʰiɂ⁵⁴	kʰ i ʔ ⁵⁴	maru1249	24.45	98.6	Sino-Tibetan	248	248
869	167_excrement	excrement	WrittenBurmese	Written_Burmese	kʰje:	kʰje:	kʰ j eː	oldb1235	21.16	94.90	Sino-Tibetan	248	248
870	167_excrement	excrement	Zaiwa	Zaiwa	kʰi³¹	kʰi³¹	kʰ i ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	248	248
1592	309_extinguish	extinguish	Lashi	Lashi	sai⁵²	sai⁵²	s ai ⁵²	lash1243	24.45	98.6	Sino-Tibetan	451	451
1593	309_extinguish	extinguish	Maru	Maru	seɂ⁵⁴ mi⁴	seɂ⁵⁴ mi⁴	s e ʔ ⁵⁴ + m i ⁴	maru1249	24.45	98.6	Sino-Tibetan	451 452	451 452
1594	309_extinguish	extinguish	WrittenBurmese	Written_Burmese	se	se	s e	oldb1235	21.16	94.90	Sino-Tibetan	451	451
1595	309_extinguish	extinguish	Zaiwa	Zaiwa	sat⁵⁴ mi³	sat⁵⁴ mi³	s a t ⁵⁴ + m i ³	zaiw1241	24.45	98.6	Sino-Tibetan	451 452	451 452
653	125_eye	eye	Achang	Achang	njɔɂ³ dʒi⁴³	njɔɂ³ dʒi⁴³	n j ɔ ʔ ³ + dʒ i ⁴³	acha1249	24.25	97.8333	Sino-Tibetan	189 190	189 190
654	125_eye	eye	Bela	Bela	mja²³ tsi²³	mja²³ tsi²³	m j a ²³ + ts i ²³	pela1242	24.45	98.6	Sino-Tibetan	189 190	189 190
655	125_eye	eye	Lashi	Lashi	mjɔ̃ɂ⁴	mjɔ̃ɂ⁴	m j ɔ̃ ʔ ⁴	lash1243	24.45	98.6	Sino-Tibetan	189	189
656	125_eye	eye	Maru	Maru	mjɔɂ³²	mjɔɂ³²	m j ɔ ʔ ³²	maru1249	24.45	98.6	Sino-Tibetan	189	189
657	125_eye	eye	Phon	Phon	juɂ³¹ si³¹	juɂ³¹ si³¹	j u ʔ ³¹ + s i ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	189 190	189 190
658	125_eye	eye	WrittenBurmese	Written_Burmese	mjak	mjak	m j a k	oldb1235	21.16	94.90	Sino-Tibetan	189	189
659	125_eye	eye	Zaiwa	Zaiwa	mjɔɂ³² dʒi³	mjɔɂ³² dʒi³	m j ɔ ʔ ³² + dʒ i ³	zaiw1241	24.45	98.6	Sino-Tibetan	189 190	189 190
649	124_eyebrow	eyebrow	Achang	Achang	mi³²	mi³²	m i ³²	acha1249	24.25	97.8333	Sino-Tibetan	188	188
650	124_eyebrow	eyebrow	Bela	Bela	mauŋ²³	mauŋ²³	m au ŋ ²³	pela1242	24.45	98.6	Sino-Tibetan	188	188
651	124_eyebrow	eyebrow	Lashi	Lashi	mɨ³	mɨ³	m ɨ ³	lash1243	24.45	98.6	Sino-Tibetan	188	188
652	124_eyebrow	eyebrow	Zaiwa	Zaiwa	mau³	mau³	m au ³	zaiw1241	24.45	98.6	Sino-Tibetan	188	188
660	126_eyelid	eyelid	Achang	Achang	kụk⁵⁴	kụk⁵⁴	k ṵ k ⁵⁴	acha1249	24.25	97.8333	Sino-Tibetan	191	191
661	126_eyelid	eyelid	Lashi	Lashi	gok⁵³	gok⁵³	g o k ⁵³	lash1243	24.45	98.6	Sino-Tibetan	191	191
662	126_eyelid	eyelid	WrittenBurmese	Written_Burmese	kʰwam	kʰwam	k a m	oldb1235	21.16	94.90	Sino-Tibetan	191	191
663	126_eyelid	eyelid	Zaiwa	Zaiwa	kụɂ⁵	kụɂ⁵	k ṵ ʔ ⁵	zaiw1241	24.45	98.6	Sino-Tibetan	191	191
624	120_face	face	Achang	Achang	njɔɂ⁴³ nɔ̣³¹	njɔɂ⁴³ nɔ̣³¹	n j ɔ ʔ ⁴³ + n ɔ̰ ³¹	acha1249	24.25	97.8333	Sino-Tibetan	181 182	181 182
625	120_face	face	Bela	Bela	mjaɂ²³	mjaɂ²³	m j a ʔ ²³	pela1242	24.45	98.6	Sino-Tibetan	181	181
626	120_face	face	Lashi	Lashi	mjɔ̃ɂ⁴ nɔ̃³	mjɔ̃ɂ⁴ nɔ̃³	m j ɔ̃ ʔ ⁴ + n ɔ̃ ³	lash1243	24.45	98.6	Sino-Tibetan	181 182	181 182
627	120_face	face	Maru	Maru	mjɔɂ³ nɔ³	mjɔɂ³ nɔ³	m j ɔ ʔ ³ + n ɔ ³	maru1249	24.45	98.6	Sino-Tibetan	181 182	181 182
628	120_face	face	WrittenBurmese	Written_Burmese	mjak hna	mjak hna	m j a k + h n a	oldb1235	21.16	94.90	Sino-Tibetan	181 182	181 182
629	120_face	face	Zaiwa	Zaiwa	mjɔɂ³²	mjɔɂ³²	m j ɔ ʔ ³²	zaiw1241	24.45	98.6	Sino-Tibetan	181	181
1472	283_fall	fall	Achang	Achang	gjɔ⁴³	gjɔ⁴³	g j ɔ ⁴³	acha1249	24.25	97.8333	Sino-Tibetan	418	418
1473	283_fall	fall	Bela	Bela	kja²³	kja²³	k j a ²³	pela1242	24.45	98.6	Sino-Tibetan	418	418
1474	283_fall	fall	Lashi	Lashi	gjɔ⁴	gjɔ⁴	g j ɔ ⁴	lash1243	24.45	98.6	Sino-Tibetan	418	418
1475	283_fall	fall	Maru	Maru	gjo⁵	gjo⁵	g j o ⁵	maru1249	24.45	98.6	Sino-Tibetan	418	418
1476	283_fall	fall	WrittenBurmese	Written_Burmese	kjaˀ	kjaˀ	k j aˀ	oldb1235	21.16	94.90	Sino-Tibetan	418	418
1859	358_far	far	Achang	Achang	wɛ³	wɛ³	w ɛ ³	acha1249	24.25	97.8333	Sino-Tibetan	516	516
1860	358_far	far	Bela	Bela	ve⁵²	ve⁵²	v e ⁵²	pela1242	24.45	98.6	Sino-Tibetan	516	516
1861	358_far	far	Lashi	Lashi	we²	we²	w e ²	lash1243	24.45	98.6	Sino-Tibetan	516	516
1862	358_far	far	Maru	Maru	wa³⁴	wa³⁴	w a ³⁴	maru1249	24.45	98.6	Sino-Tibetan	516	516
1863	358_far	far	Phon	Phon	we³¹	we³¹	w e ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	516	516
1864	358_far	far	WrittenBurmese	Written_Burmese	we:	we:	w eː	oldb1235	21.16	94.90	Sino-Tibetan	516	516
1865	358_far	far	Zaiwa	Zaiwa	ve⁵³	ve⁵³	v e ⁵³	zaiw1241	24.45	98.6	Sino-Tibetan	516	516
2016	389_fast	fast	Achang	Achang	njap⁴²	njap⁴²	n j a p ⁴²	acha1249	24.25	97.8333	Sino-Tibetan	556	556
2017	389_fast	fast	Lashi	Lashi	mjæp³	mjæp³	m j æ p ³	lash1243	24.45	98.6	Sino-Tibetan	556	556
841	162_fat	fat	Achang	Achang	tsʰɨu³	tsʰɨu³	tsʰ ɨu ³	acha1249	24.25	97.8333	Sino-Tibetan	242	242
842	162_fat	fat	Lashi	Lashi	tsʰu³²	tsʰu³²	tsʰ u ³²	lash1243	24.45	98.6	Sino-Tibetan	242	242
843	162_fat	fat	Maru	Maru	tsʰau³¹	tsʰau³¹	tsʰ au ³¹	maru1249	24.45	98.6	Sino-Tibetan	242	242
844	162_fat	fat	Phon	Phon	ʃaiŋ⁵⁵	ʃaiŋ⁵⁵	ʃ ai ŋ ⁵⁵	hpon1238	25.3248194	97.3544031	Sino-Tibetan	242	242
845	162_fat	fat	WrittenBurmese	Written_Burmese	cʰi	cʰi	tsʰ i	oldb1235	21.16	94.90	Sino-Tibetan	242	242
1804	347_fat	fat	Achang	Achang	tsʰɨu³	tsʰɨu³	tsʰ ɨu ³	acha1249	24.25	97.8333	Sino-Tibetan	503	503
1805	347_fat	fat	Lashi	Lashi	tsʰu³²	tsʰu³²	tsʰ u ³²	lash1243	24.45	98.6	Sino-Tibetan	503	503
1806	347_fat	fat	Maru	Maru	tsʰau³²	tsʰau³²	tsʰ au ³²	maru1249	24.45	98.6	Sino-Tibetan	503	503
1807	347_fat	fat	WrittenBurmese	Written_Burmese	cʰu	cʰu	tsʰ u	oldb1235	21.16	94.90	Sino-Tibetan	503	503
1808	347_fat	fat	Zaiwa	Zaiwa	tsʰu⁴³	tsʰu⁴³	tsʰ u ⁴³	zaiw1241	24.45	98.6	Sino-Tibetan	503	503
895	172_father	father	Achang	Achang	ɂa³ ba⁵	ɂa³ ba⁵	ʔ a ³ + b a ⁵	acha1249	24.25	97.8333	Sino-Tibetan	256 257	256 257
896	172_father	father	Bela	Bela	ɂa va³	ɂa va³	ʔ a + v a ³	pela1242	24.45	98.6	Sino-Tibetan	256 257	256 257
897	172_father	father	Lashi	Lashi	ɂa³ pʰoɂ⁵³	ɂa³ pʰoɂ⁵³	ʔ a ³ + pʰ o ʔ ⁵³	lash1243	24.45	98.6	Sino-Tibetan	256 257	256 257
898	172_father	father	Maru	Maru	jɪp² pʰɔ⁴³	jɪp² pʰɔ⁴³	j ɪ p ² + pʰ ɔ ⁴³	maru1249	24.45	98.6	Sino-Tibetan	256 257	256 257
899	172_father	father	Phon	Phon	ɂə pʰa	ɂə pʰa	ʔ ə + pʰ a	hpon1238	25.3248194	97.3544031	Sino-Tibetan	256 257	256 257
900	172_father	father	Zaiwa	Zaiwa	ɂə	ɂə	ʔ ə	zaiw1241	24.45	98.6	Sino-Tibetan	256	256
901	172_father	father	WrittenBurmese	Written_Burmese	pʰaˀ	pʰaˀ	pʰ aˀ	oldb1235	21.16	94.90	Sino-Tibetan	257	257
502	96_feather	feather	Achang	Achang	mau⁴⁵	mau⁴⁵	m au ⁴⁵	acha1249	24.25	97.8333	Sino-Tibetan	146	146
503	96_feather	feather	Lashi	Lashi	mau³⁵ ɂa³	mau³⁵ ɂa³	m au ³⁵ + ʔ a ³	lash1243	24.45	98.6	Sino-Tibetan	146 147	146 147
504	96_feather	feather	Maru	Maru	mọk⁵	mọk⁵	m o̰ k ⁵	maru1249	24.45	98.6	Sino-Tibetan	146	146
505	96_feather	feather	Phon	Phon	mjai	mjai	m j ai	hpon1238	25.3248194	97.3544031	Sino-Tibetan	146	146
506	96_feather	feather	WrittenBurmese	Written_Burmese	mwe: ɂə	mwe: ɂə	m w eː + ʔ ə	oldb1235	21.16	94.90	Sino-Tibetan	146 147	146 147
507	96_feather	feather	Zaiwa	Zaiwa	mau³¹	mau³¹	m au ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	146	146
1745	337_few	few	Achang	Achang	mạụ⁵	mạụ⁵	m a̰u ⁵	acha1249	24.25	97.8333	Sino-Tibetan	489	489
1746	337_few	few	Maru	Maru	mo³²	mo³²	m o ³²	maru1249	24.45	98.6	Sino-Tibetan	489	489
1747	337_few	few	Lashi	Lashi	dʒit⁵	dʒit⁵	dʒ i t ⁵	lash1243	24.45	98.6	Sino-Tibetan	490	490
1748	337_few	few	Zaiwa	Zaiwa	dʒɪ̣t⁵	dʒɪ̣t⁵	dʒ ɪ̰ t ⁵	zaiw1241	24.45	98.6	Sino-Tibetan	490	490
1749	337_few	few	Phon	Phon	ne³¹	ne³¹	n e ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	491	491
1750	337_few	few	WrittenBurmese	Written_Burmese	nai:	nai:	n a	oldb1235	21.16	94.90	Sino-Tibetan	491	491
1627	316_fight	fight	Bela	Bela	pẹɂ²³	pẹɂ²³	p ḛ ʔ ²³	pela1242	24.45	98.6	Sino-Tibetan	462	462
1628	316_fight	fight	Lashi	Lashi	pjæ̣p³¹	pjæ̣p³¹	p j æ̰ p ³¹	lash1243	24.45	98.6	Sino-Tibetan	462	462
1629	316_fight	fight	Zaiwa	Zaiwa	bjɔɂ³	bjɔɂ³	b j ɔ ʔ ³	zaiw1241	24.45	98.6	Sino-Tibetan	462	462
776	149_finger	finger	Achang	Achang	njæ̣ụ⁵	njæ̣ụ⁵	n j æ̰ ṵ ⁵	acha1249	24.25	97.8333	Sino-Tibetan	224	224
777	149_finger	finger	Bela	Bela	njạụŋ²³	njạụŋ²³	n j a̰u ŋ ²³	pela1242	24.45	98.6	Sino-Tibetan	224	224
778	149_finger	finger	Lashi	Lashi	njạụ⁵	njạụ⁵	n j a̰u ⁵	lash1243	24.45	98.6	Sino-Tibetan	224	224
779	149_finger	finger	Maru	Maru	njọɂ⁵	njọɂ⁵	n j o̰ ʔ ⁵	maru1249	24.45	98.6	Sino-Tibetan	224	224
780	149_finger	finger	WrittenBurmese	Written_Burmese	hɲui:	hɲui:	h ɲ u/w iː	oldb1235	21.16	94.90	Sino-Tibetan	224	224
781	149_finger	finger	Zaiwa	Zaiwa	njui³¹	njui³¹	n j u/w i ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	224	224
1112	212_fire	fire	Achang	Achang	nji³	nji³	n j i ³	acha1249	24.25	97.8333	Sino-Tibetan	322	322
1113	212_fire	fire	Bela	Bela	mi⁵²	mi⁵²	m i ⁵²	pela1242	24.45	98.6	Sino-Tibetan	322	322
1114	212_fire	fire	Lashi	Lashi	mɪ⁴	mɪ⁴	m ɪ ⁴	lash1243	24.45	98.6	Sino-Tibetan	322	322
1115	212_fire	fire	Maru	Maru	mi⁴³	mi⁴³	m i ⁴³	maru1249	24.45	98.6	Sino-Tibetan	322	322
1116	212_fire	fire	Phon	Phon	mi³¹	mi³¹	m i ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	322	322
1117	212_fire	fire	WrittenBurmese	Written_Burmese	mi:	mi:	m iː	oldb1235	21.16	94.90	Sino-Tibetan	322	322
1118	212_fire	fire	Zaiwa	Zaiwa	mị³¹	mị³¹	m ḭ ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	322	322
1106	211_firewood	firewood	Achang	Achang	tʰaŋ⁵	tʰaŋ⁵	tʰ a ŋ ⁵	acha1249	24.25	97.8333	Sino-Tibetan	321	321
1107	211_firewood	firewood	Lashi	Lashi	tʰaŋ⁴	tʰaŋ⁴	tʰ a ŋ ⁴	lash1243	24.45	98.6	Sino-Tibetan	321	321
1108	211_firewood	firewood	Maru	Maru	tʰa³²	tʰa³²	tʰ a ³²	maru1249	24.45	98.6	Sino-Tibetan	321	321
1109	211_firewood	firewood	Phon	Phon	tʰo³¹	tʰo³¹	tʰ o ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	321	321
1110	211_firewood	firewood	WrittenBurmese	Written_Burmese	tʰaŋ:	tʰaŋ:	tʰ a ŋː/ŋ	oldb1235	21.16	94.90	Sino-Tibetan	321	321
1111	211_firewood	firewood	Zaiwa	Zaiwa	tʰaŋ³¹	tʰaŋ³¹	tʰ a ŋ ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	321	321
529	101_fish	fish	Achang	Achang	n⁴³	n⁴³	n ⁴³	acha1249	24.25	97.8333	Sino-Tibetan	152	152
530	101_fish	fish	Bela	Bela	ŋə	ŋə	ŋ ə	pela1242	24.45	98.6	Sino-Tibetan	152	152
531	101_fish	fish	Lashi	Lashi	ŋə³	ŋə³	ŋ ə ³	lash1243	24.45	98.6	Sino-Tibetan	152	152
532	101_fish	fish	Maru	Maru	ŋo³	ŋo³	ŋ o ³	maru1249	24.45	98.6	Sino-Tibetan	152	152
533	101_fish	fish	Phon	Phon	ŋa³¹	ŋa³¹	ŋ a ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	152	152
534	101_fish	fish	WrittenBurmese	Written_Burmese	ŋa:	ŋa:	ŋ aː	oldb1235	21.16	94.90	Sino-Tibetan	152	152
535	101_fish	fish	Zaiwa	Zaiwa	ŋɔt³	ŋɔt³	ŋ ɔ t ³	zaiw1241	24.45	98.6	Sino-Tibetan	152	152
1684	326_fivepeople	five (people)	Achang	Achang	ŋ³	ŋ³	ŋ ³	acha1249	24.25	97.8333	Sino-Tibetan	475	475
1685	326_fivepeople	five (people)	Bela	Bela	ŋa⁵²	ŋa⁵²	ŋ a ⁵²	pela1242	24.45	98.6	Sino-Tibetan	475	475
1686	326_fivepeople	five (people)	Lashi	Lashi	m³	m³	m ³	lash1243	24.45	98.6	Sino-Tibetan	475	475
1687	326_fivepeople	five (people)	Maru	Maru	ŋɔ³⁵	ŋɔ³⁵	ŋ ɔ ³⁵	maru1249	24.45	98.6	Sino-Tibetan	475	475
1688	326_fivepeople	five (people)	WrittenBurmese	Written_Burmese	ŋa:	ŋa:	ŋ aː	oldb1235	21.16	94.90	Sino-Tibetan	475	475
1689	326_fivepeople	five (people)	Zaiwa	Zaiwa	ŋɔ³²	ŋɔ³²	ŋ ɔ ³²	zaiw1241	24.45	98.6	Sino-Tibetan	475	475
835	161_flesh	flesh	Achang	Achang	ʃɔ⁵	ʃɔ⁵	ʃ ɔ ⁵	acha1249	24.25	97.8333	Sino-Tibetan	241	241
836	161_flesh	flesh	Lashi	Lashi	ʃu⁵	ʃu⁵	ʃ u ⁵	lash1243	24.45	98.6	Sino-Tibetan	241	241
837	161_flesh	flesh	Maru	Maru	ʃɔ³²	ʃɔ³²	ʃ ɔ ³²	maru1249	24.45	98.6	Sino-Tibetan	241	241
838	161_flesh	flesh	Phon	Phon	ʃa³¹	ʃa³¹	ʃ a ³¹	hpon1238	25.3248194	97.3544031	Sino-Tibetan	241	241
